District,Managers,Professionals,Technicians & associate professionals,Clerks,Service workers/ shop & market sales,"Skilled agricultural, forestry and fishery workers",Craft & related trades workers,Plant/ machine operators & assemblers,Elementary occupations
Bahawalpur,0.50263828,6.829460621,0.6052109,1.013105273,5.792371273,44.4420433,17.99109077,0,22.82407761
Bahawalnagar,0,5.312299728,0.295953274,0,3.285773277,60.66133881,10.06614399,0,20.37849045
RY Khan,0,4.761633873,0.230682164,0.485735476,4.925596714,57.26096725,21.98922539,0.319192797,10.02696609
DG Khan,0.571412921,3.771883011,0.274730772,0,3.744170904,52.93082428,18.63731575,0,20.06966209
Layyah,0,3.644175529,1.437960267,0,3.147566557,70.17182159,12.61511993,0,8.983356476
Muzaffargarh,0,3.939796686,0,0,3.320942402,40.4360733,28.7306385,0,23.57254791
Rajanpur,0,1.543489933,0.318586886,0.220764324,10.51522923,43.82751465,9.1627388,0,34.41167831
Faisalabad,0.677864134,15.960742,1.453341722,0,14.55779743,29.47218704,32.56325531,0.794238865,4.520573139
Chiniot,0,3.940651655,0.586781502,0,5.149428844,58.13275909,21.02864456,0.179599494,10.98213196
Jhang,0.19611378,4.269891262,0.122169606,0.701555848,6.346718788,49.51594543,19.93383408,0,18.91377258
TT Singh,0,9.270280838,0.475961238,0.308461457,6.481035709,47.81208801,20.36414146,0,15.28803062
Gujranwala,0.340224326,18.41419983,0.611585557,0,8.568719864,14.29894829,48.11844254,0.464030236,9.183851242
Gujrat,0.403824478,16.20943642,0.587567866,0,11.7107563,48.05941391,17.29508972,0,5.733911037
Hafizabad,0,9.698988914,0.915918171,0,3.288679361,30.84142876,35.181427,0,20.07355499
Mandi Bahauddin,0.512409329,8.234360695,0.832244217,0,13.46883774,36.93470383,28.63066864,0,11.38677406
Narowal,0.34299469,9.015329361,1.166475773,0,14.24805641,44.18746185,16.06069183,0,14.9789896
Sialkot,0.692372799,16.88258171,0.719409525,0,10.43901443,31.39682007,29.11893845,0,10.75086308
Lahore,2.128795147,32.30788803,0.636426628,0.488760769,21.74023819,7.796948433,29.00414467,0,5.896799088
Kasur,0.262497365,4.828607559,0.517892182,0,15.15559387,19.12071419,41.68422699,0,18.43046761
Nankana Sahib,0.853656292,10.23503017,0,0,19.32603073,35.30502319,23.10902023,0,11.1712389
Sheikhupura,1.057682633,9.929322243,0,0.981540084,11.24246025,32.80022812,33.09119034,0,10.89757633
Multan,0.806060672,5.832700729,0.85856986,0.354172766,10.69732761,18.3508625,35.94947815,0,27.1508255
Khanewal,0.641313195,5.240364075,1.173799276,0,3.950121403,53.98323822,14.76527309,0,20.24589157
Lodhran,0,3.572309256,0.083687663,0.174253553,1.995786309,46.8308754,7.924946785,0,39.41814041
Vehari,0.651452303,5.007788658,1.578080773,0,4.187203407,30.27547836,12.89064693,0,45.40935135
Rawalpindi,0,23.39995766,1.676431298,0.963893354,10.69852543,40.54590988,16.41319084,0,6.302093983
Attock,0,8.227174759,0.449245095,0.356886357,2.571406841,73.66887665,13.15030766,0,1.576105118
Chakwal,0.648169577,7.09916687,0.490887195,0,3.643725395,69.33981323,14.35880375,0,4.41943121
Jhelum,2.596072435,17.24931908,0,0,1.605677128,54.47075272,20.75101471,0,3.327163935
Sahiwal,0,4.50615406,0.550805569,0,7.094130039,50.02467346,17.38150406,0,20.44273376
Okara,0,11.87685871,0.787685871,0,15.32919025,36.6348877,12.31009579,0,23.06128311
Pakpattan,0,3.354249954,0.87466383,0,3.290863991,51.10469818,14.45156384,0,26.92395973
Sargodha,1.172470927,13.25125599,0.847545385,0,6.378511429,31.29050446,34.48445892,0,12.57525444
Bhakkar,0.119080044,5.218199253,1.20833981,0,3.628669977,64.6529541,8.388114929,0,16.78464127
Khushab,0.404592067,7.614218235,1.383000612,0,2.510881424,68.00595856,15.00978279,0,5.071569443
Mianwali,0,4.558395386,1.262124777,0,4.078986645,76.40725708,11.31158543,0,2.381649494
Punjab,0.451792359,9.971980095,0.729020178,0.216920584,8.13261795,42.31720352,21.93469048,0.080914289,16.16485977
