District,Paid Workers/ Employees,Employer,Own Account Workers/ Self Employed,Contributing family workers
Bahawalpur,39.76878357,0,28.49757004,31.73364449
Bahawalnagar,22.31889153,0,12.54252529,65.13858032
RY Khan,15.45927525,0,8.505597115,76.03512573
DG Khan,23.31574249,0,23.12543488,53.55882263
Layyah,15.77945137,0,26.71258545,57.50796509
Muzaffargarh,47.1566925,0,14.41640091,38.42690659
Rajanpur,23.77207565,0.316079617,25.01494789,50.89689636
Faisalabad,31.17084503,2.337966442,37.20767593,29.28351402
Chiniot,14.62123013,0,25.35534859,60.02342224
Jhang,19.50117683,0.461984187,47.0680275,32.96881104
TT Singh,24.61904907,0,24.5435791,50.83737183
Gujranwala,45.25984955,0.210161135,20.55401802,33.97597122
Gujrat,31.43554878,0,11.79465675,56.76979446
Hafizabad,34.56937027,0.351125956,9.159255981,55.92024612
Mandi Bahauddin,26.13994408,0.3124457,20.58227348,52.96533585
Narowal,16.49501419,0,16.62504768,66.87993622
Sialkot,32.36639786,2.840458393,38.59263992,26.2005024
Lahore,66.91452026,1.150218606,17.2865963,14.64866352
Kasur,59.86246872,0.921781063,7.248716354,31.96703529
Nankana Sahib,32.54924774,0,22.5381794,44.91257095
Sheikhupura,44.46702957,0,21.00164032,34.53133011
Multan,68.56367493,0,10.343297,21.09302521
Khanewal,35.71263123,0.19711481,9.911046028,54.17920685
Lodhran,44.11498642,0.301459908,10.05367088,45.52988052
Vehari,52.53055573,0.335607469,12.77714825,34.35668945
Rawalpindi,30.68448257,0.285435647,36.47937775,32.55070114
Attock,22.92943192,0,5.02252388,72.0480423
Chakwal,10.49772263,0.41141504,23.32196999,65.76889038
Jhelum,25.23201561,0.740701616,32.29705048,41.73023224
Sahiwal,29.91731834,0,7.419551373,62.66313171
Okara,38.23566437,0,11.11914825,50.64518738
Pakpattan,30.76952934,0,15.0783453,54.1521225
Sargodha,34.47455215,0,28.76285553,36.7625885
Bhakkar,16.83633614,0,26.55816269,56.60550308
Khushab,20.73221779,0,5.964926243,73.30285645
Mianwali,11.21180439,0,7.569785595,81.21840668
Punjab,34.27536011,0.361653775,20.20174408,45.16124344
