District,Annual leave ,Paid sick leave ,Paid maternity leave
Bahawalpur,11.42807388,15.58031654,12.38242912
Bahawalnagar,17.87984848,14.18406391,6.261365414
RY Khan,18.25019073,17.73371506,6.034644604
DG Khan,28.54192162,23.65602303,19.23472977
Layyah,28.06245804,26.60997009,24.76421928
Muzaffargarh,8.51544857,8.745074272,4.4530406
Rajanpur,18.60918236,11.54382229,3.605116844
Faisalabad,26.44367218,16.57947922,4.044987202
Chiniot,23.27313995,22.47711372,13.8182621
Jhang,34.73490524,33.5789566,19.00067329
TT Singh,31.75510406,30.86528778,19.64679527
Gujranwala,23.3517437,20.54158783,5.517689705
Gujrat,34.06796265,20.27726936,12.19619846
Hafizabad,18.33331108,18.80856895,9.155379295
Mandi Bahauddin,26.97724152,33.82403183,18.14086151
Narowal,31.26387978,19.35559273,12.56906223
Sialkot,27.02620697,25.32514381,14.90235901
Lahore,27.22226143,13.29170322,11.07768154
Kasur,9.851760864,5.662164688,1.396292925
Nankana Sahib,19.11787415,10.61779404,2.905256987
Sheikhupura,17.1372242,16.05210495,7.767820835
Multan,13.57150269,9.167222023,8.379405022
Khanewal,16.01078796,13.11278439,8.446639061
Lodhran,24.19011688,18.24542236,10.61917114
Vehari,12.17420006,7.429191589,1.963496327
Rawalpindi,48.70684052,53.16786957,31.28108406
Attock,25.65852737,19.48940086,22.51360321
Chakwal,55.98947525,35.46593857,20.65284538
Jhelum,43.36513138,19.30253029,8.530807495
Sahiwal,8.123318672,9.484297752,7.328529358
Okara,30.49689674,25.91175842,13.12448597
Pakpattan,21.13115692,17.03547668,6.198458672
Sargodha,35.79004288,31.07636452,13.85939407
Bhakkar,17.3059845,23.8384037,12.20996761
Khushab,13.8151865,17.76816177,2.439440727
Mianwali,48.59274292,40.34939194,26.8536377
Punjab,22.51571655,18.35210419,10.47964859
