District,Medical Expenses,Paid Overtime,Life Insurance ,Cash Loans,Marriage Grants,Funeral Grants 
Bahawalpur,9.130708694,5.895251274,4.172241688,4.895837784,2.378090382,2.425064087
Bahawalnagar,1.292740107,3.872932911,0,3.966489553,0,2.624993563
RY Khan,2.400536299,0,5.38359499,10.14118481,3.027295589,0.918977916
DG Khan,7.282999992,6.999892235,6.875536442,12.46973896,9.507371902,7.888358116
Layyah,12.89636326,9.556891441,2.13332653,1.155595541,1.403206944,0
Muzaffargarh,0,1.057409048,0,0,0,0
Rajanpur,1.632468104,5.266615868,0.483465284,5.998882294,0.483465284,0.483465284
Faisalabad,9.714470863,8.985255241,4.044987202,0,5.108331203,0
Chiniot,0,20.64142609,0,0,0,0
Jhang,13.74596691,12.70506001,3.639092684,6.331785679,3.921221733,3.921221733
TT Singh,13.30488396,7.56054163,6.131646633,0,2.05413413,2.05413413
Gujranwala,5.09457016,2.866215944,2.138408661,1.747034669,2.233428001,0.564169824
Gujrat,3.249613762,3.874769449,0,5.881428242,0,0
Hafizabad,5.611077309,6.555715084,5.170756817,0,0,0
Mandi Bahauddin,10.33244991,1.423879385,0,6.703583241,1.226478815,0
Narowal,11.94061184,1.313414454,1.706522703,1.706522703,1.706522703,1.706522703
Sialkot,5.507520676,7.750823975,1.439012408,8.884263992,0,0
Lahore,8.133493423,1.749220014,0,1.125131726,1.608554006,0
Kasur,6.947237968,3.884602547,1.396292925,1.396292925,1.396292925,1.396292925
Nankana Sahib,6.916927338,15.11937523,0.951391399,0,0.951391399,0
Sheikhupura,7.767820835,3.189729691,4.600837231,1.847873807,0,1.847873807
Multan,5.578033924,3.230043411,0.828960299,2.114762068,0,0
Khanewal,2.532606125,17.1975708,4.067826271,1.611788988,2.903962612,2.903962612
Lodhran,2.045564413,0,1.680841208,8.256126404,0,0
Vehari,2.757633686,21.49632072,0,0,0.302242577,0
Rawalpindi,30.91249657,6.249145985,6.092477322,2.64855504,6.597678185,3.554041862
Attock,9.195456505,6.542711258,3.84219265,0,0,0
Chakwal,17.07936478,0,2.571902752,2.571902752,2.571902752,0
Jhelum,4.124437332,0,0,0,0,0
Sahiwal,5.347485542,9.974151611,0,0,0,0
Okara,6.879500866,1.596447349,0,2.812713146,1.145215273,1.705873489
Pakpattan,0,16.90539932,3.223200083,6.531677246,0,0
Sargodha,17.87782478,9.852982521,4.521035194,3.25940299,0,0
Bhakkar,8.355178833,7.061612606,0,2.986651182,0,0
Khushab,0,0,0,0,0,0
Mianwali,18.52557182,26.70219231,0,18.89549828,7.8066926,7.8066926
Punjab,7.59257412,6.749163628,2.10609889,2.685432673,1.798200727,1.076039076
