District,Family,Domestic Work/Caring responsibilities,Male Colleagues,Lack of accomodation,Lack of qualifications/ experience,Lack of appropriate job opportunities, Inadequate Promotion Opportunities,Lack of training opportunites ,Transport,Employers' lack of flexibility,Any of one
Bahawalpur,38.35361481,51.50592041,38.82585144,32.93380356,49.9769516,45.69693756,37.62383652,37.10777664,30.24565315,23.38597298,67.85562134
Bahawalnagar,33.13973618,37.43710327,25.21643448,30.29743195,82.37114716,72.91378021,69.62874603,62.71766663,49.72804642,26.97207451,94.74417877
RY Khan,34.22135162,45.89618301,36.97722626,31.87882042,53.32374573,45.31329346,36.32728958,38.94528198,46.22058105,31.87620926,68.41744995
DG Khan,31.27570152,33.67299652,18.38512802,9.330885887,42.58473206,28.12914276,16.28203964,17.94552803,12.70370865,7.077228546,55.54941559
Layyah,51.65805054,61.18310165,52.8871727,54.51992798,65.919487,58.84850311,51.06605148,47.79729462,48.3598671,32.4634552,80.97904205
Muzaffargarh,35.79201508,39.88775635,38.73292542,39.00025177,53.2276535,46.84790802,45.1978569,47.74925232,43.43829727,18.84037209,64.12102509
Rajanpur,12.97674847,16.66149521,14.59179115,13.7466917,13.48139477,11.13787746,10.60644531,11.55601501,9.590454102,10.34792614,21.26828194
Faisalabad,39.0435524,35.9949913,33.20735931,39.8323822,44.20539474,41.42699051,39.45154572,37.83119583,31.99797058,34.09395981,63.360672
Chiniot,33.032444,31.91067123,27.77469254,17.85611534,33.84236145,27.85303688,22.29790306,25.76865005,21.71934319,17.49897575,55.4798851
Jhang,45.95511627,59.18183899,42.01764679,30.76164436,53.48296738,39.88922882,37.31221008,35.55226135,29.94816208,17.50835609,81.12973022
TT Singh,15.15781593,36.38314819,14.69963932,22.51055145,45.6762352,24.40593719,18.52122879,21.66220665,24.42882919,11.35267544,61.71947098
Gujranwala,40.75920105,41.4467659,56.20695496,53.38147736,64.12545776,64.23936462,58.92136765,60.6244812,51.64009094,39.55820084,80.27030945
Gujrat,36.52648544,32.66038895,40.20537186,37.9501152,49.83972549,50.33701324,41.96837997,38.19236374,36.26480865,34.71438599,71.02128601
Hafizabad,18.63492584,17.74074745,24.50943756,22.99962425,42.03542709,31.43116951,28.00535774,27.08933067,23.58923149,18.07958984,53.36781693
Mandi Bahauddin,33.55862808,49.91726303,17.94395065,10.84863281,54.693573,25.72540855,22.80828094,23.65666771,16.27920151,7.350876808,80.11734009
Narowal,25.5935173,31.76628494,25.81348801,27.18507195,45.74727249,40.15790939,29.19348145,31.81807709,27.96063042,24.92908287,54.75987244
Sialkot,24.35447121,27.81716537,17.15927124,9.963350296,31.867836,20.54577255,14.80418682,11.13862514,11.30966377,3.067582607,55.85263062
Lahore,37.38702011,47.83904648,26.6187439,28.93996429,57.90758133,46.7426796,42.02661896,47.32158279,38.489048,26.68994141,70.54033661
Kasur,2.403069258,6.195894718,2.475404739,2.128452778,4.222783089,3.925922155,3.230202675,2.85071063,2.468897104,3.093761921,11.00435829
Nankana Sahib,12.66622543,11.02612114,13.06092548,9.111778259,13.19270706,8.979836464,7.651235104,6.695260525,7.952742577,5.618068218,24.71325493
Sheikhupura,39.65798187,42.1666069,41.1748085,35.46825027,45.81577682,34.38611603,33.35466766,36.27865982,44.19254303,43.97310257,57.5929718
Multan,38.07190704,63.2598877,50.73265457,41.36505127,70.67517853,68.20320892,61.38376617,64.94205475,51.91403198,28.56664658,89.57170105
Khanewal,26.70371628,42.032547,38.82128906,30.45738602,56.74864578,41.17276764,33.97229767,31.61133385,29.65483856,19.7061882,64.52249146
Lodhran,13.46352386,33.37103271,17.70844269,5.542462349,27.81259727,24.93923187,11.24318027,11.50456142,5.843120575,4.176505566,51.59968185
Vehari,23.9649334,40.88763428,27.28669548,20.39723587,43.31861877,32.75662994,27.20370865,31.37157059,32.18835068,17.72882652,59.14210129
Rawalpindi,44.89307404,52.52298737,45.20558548,27.42137337,50.66099548,38.97166061,35.50769806,35.40565491,37.65325546,27.80181122,74.76379395
Attock,47.77253342,48.84111404,60.01713562,45.08846283,66.6860199,58.22288895,50.11545563,46.28077316,52.11198425,41.55690384,80.67250061
Chakwal,53.74818039,46.26502609,56.89588165,39.41866302,60.16478729,55.32346344,42.60111237,52.01318741,46.47788239,27.906847,80.47422028
Jhelum,46.45195007,51.12520981,51.37549591,41.69698715,59.97341156,51.23093033,48.11129379,50.20246887,49.59239197,32.23937607,70.11590576
Sahiwal,29.43760109,35.45223236,29.80187798,22.14128876,36.1425705,26.97215271,24.31590462,25.03990555,28.42276573,27.02715874,59.78513336
Okara,50.83367157,55.82407761,47.52365112,42.227005,55.84544373,49.48763657,41.70802689,39.41688919,41.65573883,28.86499977,68.81942749
Pakpattan,21.03835106,33.58875275,21.63060951,18.12788773,33.33231735,28.61242104,22.47766495,21.98788261,20.93970871,13.80670929,44.52333069
Sargodha,30.2823391,35.40982056,37.00332642,23.03982735,47.93584061,33.82274628,21.77582932,25.56207085,26.13105011,19.21261978,63.36687851
Bhakkar,21.40907478,21.49363136,40.83519745,24.12530899,33.1459198,26.41869926,26.04460907,25.76467323,23.21305847,20.71154594,51.75902176
Khushab,31.9051857,37.32598495,33.1116066,30.13685417,56.21097946,38.30916595,33.50696945,31.46294022,34.69284821,28.52498436,62.83264923
Mianwali,42.3279953,55.42959213,49.8265419,42.60769653,71.72575378,41.67687225,34.26610565,29.85144043,40.91697311,12.3467741,88.08867645
Punjab,34.3605957,41.44535065,34.64890671,30.34142685,50.20417023,41.5863533,36.16640472,36.90979385,34.02572632,24.28184128,66.16733551
