District,Separate Washroom for Women,Disability Friendly Washroom,Day Care Center,Dedicated Pick and Drop Service,Flexible timings 
Bahawalpur,20.6405468,2.828310013,4.254091263,1.668435097,27.6835537
Bahawalnagar,18.82512474,2.18757081,3.984503269,7.632946014,36.83083344
RY Khan,20.82454681,2.697093725,4.198598862,1.798062444,25.82406616
DG Khan,25.94029999,2.324640989,1.588528395,1.256856561,16.97546577
Layyah,26.01584053,10.08215904,5.467377663,4.880744934,42.14209747
Muzaffargarh,17.14596176,1.348085999,3.517922401,1.950261116,11.46602917
Rajanpur,9.915195465,0,0,1.423194885,6.69410944
Faisalabad,31.04973412,3.508256674,6.23282814,11.81220436,38.54030228
Chiniot,27.5406189,2.51537776,1.541223407,0,24.45804977
Jhang,16.32780838,2.386672974,4.206219196,1.134253383,23.47197914
TT Singh,38.81788254,13.1989069,7.774369717,2.499388933,29.95551872
Gujranwala,37.16812897,4.467490196,4.783215046,3.887804508,46.32215118
Gujrat,47.02122498,5.809141636,4.031044483,0,24.21887779
Hafizabad,21.93897629,4.503183842,5.87152195,0,42.64977646
Mandi Bahauddin,48.85945511,7.806121349,5.285573006,2.276406765,41.46912003
Narowal,48.68819046,3.660467386,3.660467386,1.706522703,31.56581306
Sialkot,47.28992462,20.18855667,1.896338105,2.360329151,35.72461319
Lahore,30.02565575,3.116996527,3.333441973,2.637604713,16.47431755
Kasur,10.48402882,0.813066542,2.685932636,4.213330746,7.258555412
Nankana Sahib,30.63449097,9.431988716,3.060278893,3.097087622,43.63251114
Sheikhupura,16.43138123,2.938992739,5.014857769,5.014857769,18.59849167
Multan,28.59971428,1.118774414,0,2.044214249,27.02126122
Khanewal,13.73218822,2.349303246,4.88190937,1.662965298,31.73405838
Lodhran,27.40154648,0,1.825847507,1.37984848,24.1350708
Vehari,9.388210297,1.133244872,1.247954845,3.609650373,31.70181084
Rawalpindi,74.13645172,22.75341988,25.16146088,8.884183884,35.41918182
Attock,35.27118301,0,0,2.674841881,45.1450386
Chakwal,63.01826096,4.52547121,3.228884697,2.816013098,20.66284752
Jhelum,55.79956055,15.96533966,9.368795395,2.667314529,21.0176754
Sahiwal,18.43662453,0,0,0,40.3223381
Okara,29.22483253,11.4249258,1.709009886,2.026082039,40.21610641
Pakpattan,18.08125496,2.108299971,5.534863472,5.295465469,20.5405941
Sargodha,48.75210571,6.326533794,10.22502041,8.191477776,51.19544601
Bhakkar,36.2504921,6.998729706,7.188042164,3.385234833,36.85264587
Khushab,15.66026115,2.949219942,2.949219942,0,7.749051571
Mianwali,52.84470749,0,16.98892975,11.82789421,26.65914917
Punjab,29.04740906,4.877411366,4.832036972,3.509200335,28.6013546
