District,Family,Domestic Work/Caring responsibilities,Male Colleagues,Lack of accomodation,Lack of qualifications/ experience,Lack of appropriate job opportunities, Inadequate Promotion Opportunities,Lack of training opportunites ,Transport,Employers' lack of flexibility,Other
Bahawalpur,23.82567596,25.23423958,8.683269501,0.531652808,22.23762512,13.65531921,2.184322119,0.970063746,1.208218217,0.679961085,0.78965342
Bahawalnagar,14.24351406,13.55587387,1.304840207,1.279458284,43.59979248,12.6101656,8.139322281,2.914053679,1.951406121,0.401571691,0
RY Khan,17.63006592,22.48649788,6.235951424,0.340409875,25.51332283,11.08578491,1.549757123,1.9009161,9.822132111,0.850046575,2.585113287
DG Khan,31.18307304,18.97890472,4.446357727,0.123594083,28.6601963,13.28713322,1.399400592,0.901355267,0.875776947,0,0.144209102
Layyah,29.56848907,21.29029846,9.014807701,3.106567383,25.45675468,4.22382021,0.667657197,1.165510774,3.072580814,2.43351388,0
Muzaffargarh,21.42509651,7.293266773,4.746878147,0.882502377,47.65444946,4.90749073,3.137624025,5.078076839,4.304479599,0.291650534,0.278484106
Rajanpur,28.78040123,46.24652863,9.113433838,1.430149913,6.346636772,1.989525318,0,1.044633389,2.15944171,1.852580667,1.036668777
Faisalabad,26.25471687,20.00052071,10.20798874,7.640043259,22.07124519,6.536681175,1.609303117,0.403314948,1.112827301,4.054837704,0.108521491
Chiniot,36.7441864,23.03387642,9.777935028,1.70197463,15.55850983,4.896615505,0.289810061,1.979992747,3.257429838,0.451410234,2.308259249
Jhang,22.8153019,32.59427643,9.857009888,0.694066167,20.3451786,7.177445889,2.263259649,1.837904215,2.4155581,0,0
TT Singh,13.10719967,19.05707932,6.494504929,6.706095695,41.23971558,3.582153559,2.181182861,0.832041323,4.946572304,1.438267589,0.415188313
Gujranwala,26.80325317,18.07794762,19.33091545,2.826257229,21.77618217,7.316468239,1.331684709,0.493558168,1.795237303,0.248493746,0
Gujrat,32.67602539,15.79730511,11.20244026,3.185190916,16.84428215,10.15567112,1.359535456,0.388045639,5.155286312,2.712215424,0.524002194
Hafizabad,25.35312653,6.213913441,14.91826153,1.682774663,37.56660461,6.974725723,1.643942595,0.545222044,4.525319576,0.528117001,0.047993757
Mandi Bahauddin,27.51576042,33.17073441,1.448231816,0.172100157,29.37438011,4.181169033,1.258554697,0.65963912,1.6292696,0.590161085,0
Narowal,13.02368832,15.92705536,3.676101208,1.907026887,46.73144531,13.6263504,2.172986031,0.629674852,2.05115366,0.254517496,0
Sialkot,28.22262764,21.02790833,6.27927351,1.287402034,27.99983788,7.496573448,1.771688581,1.30622375,2.492238045,0,2.116226435
Lahore,24.98140144,22.02791214,4.357599258,2.600989103,31.76230621,7.936515331,1.950841665,1.377464771,1.425799966,1.579170465,0
Kasur,10.16462517,40.65366745,5.324559212,3.491884232,16.84409714,6.221836567,1.507066131,1.386792541,4.303740501,10.10173035,0
Nankana Sahib,20.43380928,17.89853287,22.63852882,1.933145642,26.57123566,4.702645302,0.796402216,0,3.683714867,0.674770772,0.667215049
Sheikhupura,22.15735817,14.06276894,17.66786766,2.998075008,23.69547653,3.227904797,1.158141494,1.109618068,4.096204758,9.82658577,0
Multan,15.74868679,23.62241936,10.23651123,0.727512717,21.13697243,22.82162094,3.02677846,1.382845163,0.96855104,0.2576738,0.070427559
Khanewal,26.56949425,22.66086388,11.5523634,0.293873936,28.84863663,7.462552071,1.308852673,0.836740673,0.284956098,0.181668609,0
Lodhran,13.96881485,39.47056961,3.562479496,0.39908129,18.77557564,17.60104179,0.549919546,0.452073842,0.384355456,0.190152392,4.645936489
Vehari,22.25143242,27.48672104,4.511893749,1.024572849,28.3642807,3.446587086,1.814962626,4.564883232,5.386086941,0.867307842,0.281272054
Rawalpindi,24.33463097,22.91239929,15.72225094,0.720604062,14.77685452,9.012426376,7.434541225,0.345369071,3.717439651,0.812932432,0.210551217
Attock,40.33291626,8.688703537,18.35747719,0.468720078,15.62101078,8.565720558,2.780775785,0.398763716,3.620491028,1.081099033,0.084322952
Chakwal,28.05958176,20.41567421,16.74498367,1.180436254,22.31420326,6.331622601,0.652414501,1.67213583,1.926890492,0.702058077,0
Jhelum,25.83379936,10.95334244,14.45773697,2.420704842,35.17848969,5.693099499,1.007485509,1.343477368,2.10314703,1.008718371,0
Sahiwal,33.41592789,19.56954384,11.57651234,0.520719767,20.56818581,1.646893859,0.433607996,1.584818721,5.204895496,5.478892803,0
Okara,29.16028786,28.35653496,10.53516674,1.442316413,15.65311623,11.0118866,0.435492575,0.547811627,2.352784157,0.50460273,0
Pakpattan,27.50152969,31.46366501,3.700690985,0,27.89221573,6.83264637,0.999662876,0.981389165,0.628197908,0,0
Sargodha,25.19807816,16.36422539,15.35324669,0.213794723,34.8427124,4.375277519,0,0.930455565,2.045616388,0.676592052,0
Bhakkar,16.71756554,4.394105434,47.74338913,1.947793484,19.80680847,2.03053236,1.274662137,0.737238646,3.24376893,2.104133368,0
Khushab,22.02750397,14.18778515,8.105751038,0.700685382,47.12351227,4.847465515,0.970030189,0.698559582,1.338705063,0,0
Mianwali,17.99800873,7.427136421,13.02473068,3.099790573,51.34219742,2.054647446,0.59809041,0.449973524,3.316290855,0.52909565,0.160039678
Punjab,24.16254234,20.28912544,10.07047749,2.041130066,27.13067055,8.43211174,2.190055132,1.276650071,2.66910696,1.399603367,0.338527173
