District,Lack of financial means ,"
Family/husband/in-law not allow ","
Marriage ","
Concerns for safety","
Domestic responsibility ","
Employment/ work","
Distance/lack of transport",Any Other Reason
Bahawalpur,43.58589554,39.52082825,13.28148556,0.790085137,30.96375465,0.52829361,36.9255867,16.78399467
Bahawalnagar,39.49685669,16.04027176,16.76515007,0,20.96602821,0,23.43613243,27.55246735
RY Khan,37.6751709,33.61561584,18.35084915,3.378369331,23.33345413,0,41.23378754,13.78405094
DG Khan,26.21150589,50.25840378,13.43179893,7.508777142,7.94960165,0,42.33921432,23.2164669
Layyah,30.7204628,28.31354904,24.15067482,1.301807165,22.02754974,0,34.19309998,19.85523796
Muzaffargarh,39.69693375,50.83324432,17.47678185,0.955389202,17.70418358,0,37.27392197,17.11196327
Rajanpur,27.8484726,54.03032303,13.32840633,1.730912209,49.80271912,0,29.14938354,37.51343918
Faisalabad,42.26509476,14.30196476,14.06405067,0.923410833,21.12351799,0.926024795,6.047413349,28.81153297
Chiniot,29.73530579,40.67383575,13.21731472,0,27.09625626,1.107231259,14.47340775,18.04603577
Jhang,40.03271866,46.61753082,19.01955032,1.816200376,34.0873642,0,26.30243874,40.13038635
TT Singh,36.88953018,20.38631248,9.948551178,0,22.86931801,0,17.91677094,33.00796509
Gujranwala,46.8432579,18.42105484,18.37306786,0.893746972,24.37501335,0.58449018,16.32953453,25.79151535
Gujrat,27.92981911,8.58190155,23.67710304,1.085522532,12.28485203,0,8.091281891,35.89559555
Hafizabad,30.20124817,16.21652985,19.54394722,0,22.26850319,0.590677261,10.79042339,25.82099915
Mandi Bahauddin,29.73513985,30.94234085,14.64313698,2.121311903,22.01557922,0.640041053,27.64315987,20.68749237
Narowal,39.93233871,25.71967506,25.92963409,1.283206105,47.02312469,1.29805994,26.5609169,37.87430573
Sialkot,31.77192879,15.88992119,22.52960396,1.689926624,31.24755287,0,27.20214081,33.03271484
Lahore,15.955163,14.7292614,21.97772217,0.470119148,45.63275909,0.990491569,4.584055424,28.21840858
Kasur,31.2483387,23.04245758,8.718933105,1.98793292,38.87406921,0,21.70523071,21.41646194
Nankana Sahib,28.75914764,15.75106812,11.83794785,0,21.42342186,0,15.35369205,32.97618103
Sheikhupura,32.15896988,13.95528412,7.389162064,0.762887061,25.41653824,0.812164724,13.06022167,37.53423691
Multan,32.11212921,33.26211929,17.85531998,0,33.13807297,0.631443739,25.55914497,29.13928223
Khanewal,32.1789093,22.25064278,20.58388519,0.79432261,29.07372093,0,24.96361351,16.4943676
Lodhran,40.16505432,43.80703354,15.3848877,1.072494984,25.91493607,0.723640084,27.25797844,10.10057354
Vehari,32.86277771,24.7311821,16.55496788,0.835742593,23.67589188,1.486955166,24.69075203,16.79076576
Rawalpindi,33.16946793,28.62705994,24.12205124,9.633366585,22.7893219,2.583756447,27.66659164,18.42365646
Attock,36.26113892,21.30534363,15.80031395,0,16.56832314,0,27.99664497,24.19847298
Chakwal,41.63887405,15.76789188,15.87163067,3.663522005,12.58664131,0.925497174,30.61779404,38.19894028
Jhelum,31.64925003,14.20915604,14.95285988,1.066538215,27.26858902,3.727980375,25.08938599,22.84301758
Sahiwal,35.51371002,20.73959923,13.94687843,1.045614243,43.4587822,7.747356415,13.29642487,43.86251831
Okara,31.79112244,25.52591133,19.04620934,1.558970809,19.39770699,1.58987391,14.54817009,27.78983688
Pakpattan,38.15407944,23.00494003,14.98526859,1.223374486,20.63283348,0,27.54017258,15.78894043
Sargodha,25.49058723,31.68344307,18.99213219,8.638930321,23.68663406,1.696575284,26.59815407,23.07037926
Bhakkar,24.36144066,23.92118263,9.553167343,0,33.86354446,0,26.68355942,13.47548485
Khushab,23.86943436,20.84323692,16.97172737,0.610948682,39.38851166,0,31.19384384,34.16051102
Mianwali,24.78516388,21.87590027,12.68339539,0,22.92899704,0,22.10588837,34.90593719
Punjab,33.1823616,26.13651085,17.21899986,1.705210447,27.50280762,0.763156772,22.25415993,25.71203995
