District,Never attended ,Pre school,Primary ,Middle ,Matric,Intermediate (including Poly-Technic),Graduation,Master and above 
Bahawalpur,50.5798111,10.05633259,11.77004051,8.394030571,9.188837051,3.544759512,3.157342434,3.308845282
Bahawalnagar,48.13389969,8.817494392,16.3453598,9.137096405,10.83398247,2.554764032,2.434375286,1.743027091
RY Khan,63.08902359,10.16311264,11.18576431,4.05979538,6.612369537,2.318686724,1.39149332,1.179753542
DG Khan,66.76254272,9.671775818,7.991771698,3.713284969,5.746376991,1.824356556,1.979795337,2.310097694
Layyah,49.58459091,10.54425907,16.65630531,7.657603264,8.045532227,3.378873587,2.70770669,1.42513001
Muzaffargarh,70.8561554,5.397297382,10.00695038,3.667706966,5.71006155,1.770223975,1.076818824,1.51478827
Rajanpur,73.73252106,6.964165688,7.741390705,4.010147095,4.113580704,1.817260981,0.833081603,0.787855089
Faisalabad,26.29602623,5.213102818,15.93002224,13.43669701,19.74975204,8.242456436,6.387285709,4.744657993
Chiniot,55.05139923,13.53062153,12.03404331,6.629168034,6.571989059,2.984265804,2.070091963,1.128419876
Jhang,46.57299805,11.53900051,19.07382011,9.148690224,8.280940056,2.268299341,2.017813921,1.098437428
TT Singh,35.10096359,7.474524498,17.49449921,10.62096977,14.17161751,7.451371193,3.723881006,3.9621737
Gujranwala,19.79133034,4.979981422,16.02202988,15.63570404,22.05864334,12.40440464,4.014210224,5.093696117
Gujrat,20.72709465,8.676927567,21.4180584,14.87084198,18.56098938,10.13126469,3.734809637,1.880013466
Hafizabad,36.26857376,10.98542309,16.22817421,11.18802643,13.1976881,6.430883408,3.015871763,2.685361385
Mandi Bahauddin,34.21739578,9.225414276,18.55271912,12.27510357,15.26273823,6.088802338,2.229366064,2.148461103
Narowal,27.50825691,4.296693802,19.21287918,19.56305313,14.72516155,6.641260147,3.059612036,4.993082047
Sialkot,15.96990871,7.64515543,15.58382511,16.39306831,23.69463921,11.08960533,5.617009163,4.006788254
Lahore,22.95225716,5.390693188,13.96778488,11.04974461,22.17737961,9.077321053,8.370295525,7.014523029
Kasur,42.1570816,9.748977661,16.90405846,11.64690781,10.67287159,4.440835953,3.261078596,1.168188214
Nankana Sahib,40.95205307,8.585427284,14.12998581,11.29654217,12.15388393,7.829473972,2.260845184,2.791787863
Sheikhupura,36.49836349,3.401804924,16.22039604,15.01576614,15.62795544,7.533788681,3.00367713,2.698247194
Multan,53.94452286,4.920982838,13.43361378,9.33823967,8.834424019,3.493282557,2.777997255,3.256937027
Khanewal,46.67189789,10.23302174,15.76916218,9.299418449,9.747932434,4.189547539,2.334813595,1.754205704
Lodhran,63.62543869,8.707999229,10.60661221,6.157763958,5.308712482,3.235608578,1.02401495,1.333850145
Vehari,48.32818985,12.18573284,16.02887535,8.527937889,8.746663094,2.901683331,1.375325799,1.905592918
Rawalpindi,20.38240623,6.940634251,14.08950615,11.58470726,19.63384628,11.5327301,9.812937737,6.02323246
Attock,44.26910019,4.422445774,17.55877686,9.713802338,12.11114979,5.394224167,3.777720213,2.752780437
Chakwal,31.15802383,9.47010994,18.0554657,8.551482201,17.47820663,6.491555691,3.736622095,5.058533669
Jhelum,23.74703026,4.241592884,19.68389511,13.04802704,22.34085846,8.133151054,4.029070377,4.776375294
Sahiwal,40.47363281,11.5366478,19.48543739,8.897082329,11.22887135,3.969938517,2.158173561,2.250218153
Okara,44.90975571,8.879158974,12.95437622,11.55964375,10.26825714,4.768406391,3.374666452,3.285734415
Pakpattan,48.20675278,15.62821007,16.41992569,6.549543381,6.717276096,2.398972273,2.412818193,1.666500568
Sargodha,41.09635925,8.28592968,15.34854794,13.06511688,11.85555172,5.252487659,2.165680885,2.930324793
Bhakkar,56.87163544,6.254556179,13.53578377,6.51124239,8.734177589,3.304254055,2.200130701,2.588220119
Khushab,44.57126236,11.95841789,16.82280731,9.43611145,11.41676426,2.303510427,2.362053394,1.129072666
Mianwali,53.58509064,9.335341454,11.20485401,8.105547905,8.582974434,4.126768589,2.288039923,2.771383524
Punjab,39.29865646,7.716471672,14.89507389,10.46315098,13.97907066,6.150789738,4.041453838,3.455332756
