District,Basic Health Unit/Dispensary,Family Planning Unit / MCH,Primary/Middle School ,High School/College,Technical Training Centre,Bank/Microfinance Institutions,Public Transport (e.g. bus/ taxi/ rickshaw),Police Station/Women Police Station
Bahawalpur,65.4444809,23.18970108,54.08244705,23.48342133,2.530116081,20.34326553,71.59178925,2.165435314
Bahawalnagar,34.7298584,27.20129013,57.57099533,13.52319622,2.697554588,6.921376705,70.18727112,6.029411316
RY Khan,37.51709366,28.45149612,56.4173584,11.19857025,3.597108126,11.90943241,50.38743591,4.44109869
DG Khan,65.65603638,27.28475189,50.9103508,16.65942955,1.646740675,19.76963043,87.65591431,7.853895664
Layyah,54.98758698,40.18335724,71.03823853,26.79026794,6.279197693,13.12334251,55.12762451,1.144563079
Muzaffargarh,27.60787582,12.95218563,47.52487946,12.68933868,1.127599955,5.988997459,51.1835289,0.274447054
Rajanpur,47.08421707,40.42770767,65.10243225,17.4382267,4.394386292,15.54289722,41.87862396,8.110817909
Faisalabad,65.38536835,24.6864109,72.4109726,45.82028961,8.216715813,39.31077194,92.76193237,4.538507462
Chiniot,37.60254288,19.81490517,52.79903412,18.39346123,1.732718229,11.30804157,78.12610626,1.66564548
Jhang,54.12718964,29.0416832,62.60905838,30.14927101,3.040043116,13.88111401,80.08125305,9.874386787
TT Singh,60.75246048,40.02130127,77.56417847,44.33198547,5.655632973,32.64388657,91.31916809,20.89938927
Gujranwala,27.64230728,27.81447983,55.89023209,31.70838737,7.397459507,33.19573975,92.87060547,1.963680267
Gujrat,29.63468742,18.09179688,50.40491867,21.36567307,2.66366601,20.15988159,87.65991211,1.598603487
Hafizabad,32.40367508,15.61929226,57.56951141,22.41992569,2.716278791,14.12853527,68.02960968,4.707794189
Mandi Bahauddin,56.57324982,46.10242081,77.79644775,45.04634857,8.538612366,29.39691544,85.96940613,1.486767769
Narowal,43.05406189,41.99622345,76.43457794,42.11475754,7.57941103,23.44993591,56.32766342,6.865027428
Sialkot,27.59027672,13.02054119,57.95571899,30.12597466,2.832406282,27.18247795,91.20928955,0.934249341
Lahore,51.39505768,26.33556747,55.15119553,36.8579483,8.040752411,21.71132469,85.00908661,6.240462303
Kasur,53.68417358,35.72510529,48.38111496,22.65338326,6.975989819,15.69671822,73.40045166,2.25512886
Nankana Sahib,29.41372681,17.59798241,66.81726074,27.81635284,2.425510406,14.49256611,86.47010803,5.9123106
Sheikhupura,26.94677162,15.80706596,50.04902267,22.71888733,4.526833057,9.008250237,77.95592499,6.261164665
Multan,21.25528908,21.01004601,45.10206985,12.90510941,0.219241649,6.126141071,55.75728989,0.17878674
Khanewal,65.3883667,37.48165131,66.30083466,28.1803875,8.434524536,29.00447083,91.25437164,3.22051096
Lodhran,62.43711853,14.63907814,53.86760712,16.71968079,0.82227248,20.51086426,73.88031769,0
Vehari,30.66773033,22.93535805,46.31910324,10.6004076,1.706032753,7.709461689,78.00157166,1.744215131
Rawalpindi,41.22598648,30.0296917,62.0881958,46.64086151,13.71859646,44.48350525,80.11421967,16.54926682
Attock,23.75938797,16.05138969,35.30138779,19.90537262,3.772351027,19.12106133,69.74714661,2.530303955
Chakwal,49.45773697,21.36431122,56.52738953,25.53712845,6.038848877,36.34512329,94.30055237,11.81809902
Jhelum,64.10668182,23.200037,45.03073502,27.67799568,3.893432617,20.50628853,78.66352081,2.095989704
Sahiwal,21.46844101,30.83725166,58.44015884,12.81950665,0.524228096,8.713226318,88.96323395,0.937843025
Okara,45.09099197,28.72114754,56.23022461,20.73283005,2.246931314,17.00789642,68.30017853,4.756708145
Pakpattan,38.56189346,47.11737823,63.10782623,19.40237427,1.541719913,8.355430603,64.47168732,2.644188166
Sargodha,24.84567642,15.39682961,38.84774399,20.43696785,1.345568061,9.019325256,82.74464417,1.729319096
Bhakkar,42.83800125,17.62856293,31.66728401,9.80969429,1.913871527,6.120779514,67.87036133,2.41511488
Khushab,47.8263588,30.89757347,68.56190491,24.84999084,5.398138523,12.18481636,88.15940857,2.517464876
